player_id,name,tourney_date,tourney_name,result,result_text,rank,points
105643,Federico Delbonis,2021-03-08,Santiago,3.5,Semi-finalist,86,851
105643,Federico Delbonis,2021-05-24,Belgrade 2,3.5,Semi-finalist,52,1170
105643,Federico Delbonis,2021-07-12,Hamburg,3.5,Semi-finalist,48,1345
105948,Federico Coria,2021-02-22,Cordoba,3.5,Semi-finalist,95,790
105948,Federico Coria,2021-07-12,Bastad,2,Finalist,77,933
106148,Roberto Carballes Baena,2021-07-12,Bastad,3.5,Semi-finalist,97,796
111815,Cameron Norrie,2021-01-04,Delray Beach,3.5,Semi-finalist,74,877
111815,Cameron Norrie,2021-04-26,Estoril,2,Finalist,50,1200
111815,Cameron Norrie,2021-05-17,Lyon,2,Finalist,49,1315
111815,Cameron Norrie,2021-06-14,Queen's Club,2,Finalist,41,1510
111815,Cameron Norrie,2021-07-19,Los Cabos,1,Winner,30,1815
111815,Cameron Norrie,2021-09-27,San Diego,2,Finalist,28,1930
111815,Cameron Norrie,2021-10-04,Indian Wells Masters,1,Winner,26,2015
124079,Pedro Martinez,2021-07-26,Kitzbuhel,2,Finalist,97,816
126207,Frances Tiafoe,2021-10-25,Vienna,2,Finalist,49,1192
126207,Frances Tiafoe,2021-11-08,Stockholm,3.5,Semi-finalist,41,1422
126952,Soon Woo Kwon,2021-06-21,Eastbourne,3.5,Semi-finalist,77,921
126952,Soon Woo Kwon,2021-09-20,Nur-Sultan,1,Winner,82,899
128034,Hubert Hurkacz,2021-01-04,Delray Beach,1,Winner,35,1518
128034,Hubert Hurkacz,2021-03-22,Miami Masters,1,Winner,37,1645
128034,Hubert Hurkacz,2021-06-28,Wimbledon,3.5,Semi-finalist,18,2533
128034,Hubert Hurkacz,2021-09-20,Metz,1,Winner,13,3128
128034,Hubert Hurkacz,2021-11-01,Paris Masters,3.5,Semi-finalist,10,3366
144750,Lloyd Harris,2021-03-15,Dubai,2,Finalist,81,885
144750,Lloyd Harris,2021-10-18,Antwerp,3.5,Semi-finalist,32,1640
206173,Jannik Sinner,2021-02-01,Great Ocean Road Open,1,Winner,36,1464
206173,Jannik Sinner,2021-03-22,Miami Masters,2,Finalist,31,1789
206173,Jannik Sinner,2021-04-19,Barcelona,3.5,Semi-finalist,19,2394
206173,Jannik Sinner,2021-08-02,Washington,1,Winner,24,2280
206173,Jannik Sinner,2021-09-27,Sofia,1,Winner,14,2895
206173,Jannik Sinner,2021-10-18,Antwerp,1,Winner,16,2895
206173,Jannik Sinner,2021-10-25,Vienna,3.5,Semi-finalist,11,3260
